SKU,post_status,post_title,post_content ,post_excerpt,category,regular_price,visibility,featured_image
D/M,publish,Quick Link #70227,"Price: $0.59, Case  qty: 36, UPC: 643117702278<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.59,small tools & hardware->hooks,0.59,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
DB-947,publish,"3pc D-Ring Set #5,6,7 #29625","Price: $0.55, Case  qty: 36, UPC: 643117296258<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.55,small tools & hardware->hooks,0.55,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
DB-970,publish,3pc D-Ring Set #7  #29630,"Price: $0.60, Case  qty: 36, UPC: 643117296302<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.60,small tools & hardware->hooks,0.60,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
DC248,publish,Black Wallet Trifold #70309,"Price: $0.60, Case  qty: 360, UPC: 643117703091<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.60,general merchandise,0.60,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
DC348,publish,D-Ring With Compass #70128  Gg,"Price: $0.50, Case  qty: 2000, UPC: 643117701288<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.50,small tools & hardware->sporting goods,0.50,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
DC912,publish,Drop Cloth 9X12' #10021,"Price: $0.48, Case  qty: 60, UPC: 643117100210<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.48,small tools & hardware->brush/paniting,0.48,visible,http://truforge.co/wp-content/uploads/2016/02/10021.jpg
DCKS,publish,Drill Chuck Key Small 4-In-1 #11037,"Price: $0.75, Case  qty: 144, UPC: 643117110370<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.75,small tools & hardware,0.75,visible,http://truforge.co/wp-content/uploads/2016/02/11037.jpg
DL35,publish,Ball Foot Air Chuck #G00695  Mm,"Price: $0.50, Case  qty: 48, UPC: <br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.50,auto accessories,0.50,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
DM12,publish,12pc Filter Mask # 28039-4,"Price: $0.45, Case  qty: 48, UPC: 643117280394<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.45,small tools & hardware,0.45,visible,http://truforge.co/wp-content/uploads/2016/02/28039.jpg
DM5,publish,Dust Mask 5pc #28037,"Price: $0.50, Case  qty: 48, UPC: 643117280370<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.50,small tools & hardware,0.50,visible,http://truforge.co/wp-content/uploads/2016/02/28037.jpg
DM50,publish,Dust Mask 50pc #12018,"Price: $1.50, Case  qty: 20, UPC: 643117120188<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $1.50,small tools & hardware,1.50,visible,http://truforge.co/wp-content/uploads/2016/02/12018.jpg
DP5,publish,"Diagonal Pliers 5"" #29616","Price: $0.55, Case  qty: 72, UPC: 643117296166<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.55,small tools & hardware,0.55,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
DP6,publish,"Diagonal Pliers 6"" #29550-3","Price: $0.75, Case  qty: 48, UPC: 643117295503<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.75,small tools & hardware,0.75,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
DWS,publish,1pc Door Knob & Wall Shield #50126,"Price: $0.45, Case  qty: 36, UPC: 643117501260<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.45,small tools & hardware,0.45,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
DWW7,publish,2pc Door Knob And Wall Shield #50129,"Price: $0.45, Case  qty: 36, UPC: 643117501291<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.45,small tools & hardware,0.45,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
EH500,publish,Easy Open Hamper Box-shape W/Color #20071-2,"Price: $0.69, Case  qty: 96, UPC: 643117200712<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.69,general merchandise,0.69,visible,http://truforge.co/wp-content/uploads/2016/02/20071.jpg
EM,publish,Eyeglasses Repair Kit #29215,"Price: $0.45, Case  qty: 240, UPC: 643117292151<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.45,small tools & hardware,0.45,visible,http://truforge.co/wp-content/uploads/2016/02/29215.jpg
FB10,publish,10pc Foam Brush Set #13410-9,"Price: $0.55, Case  qty: 36, UPC: 643117134109<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.55,small tools & hardware->brush/paniting,0.55,visible,http://truforge.co/wp-content/uploads/2016/02/13410.jpg
FB3,publish,Cleaning Brush  #70807,"Price: $0.75, Case  qty: 24, UPC: 643117708072<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.75,small tools & hardware->brush/paniting,0.75,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
FC,publish,Folding Chair #29415,"Price: $4.00, Case  qty: 12, UPC: 643117294155<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $4.00,general merchandise,4.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
FD,publish,Furniture Dolly #13173        Wbw,"Price: $13.50, Case  qty: 1, UPC: 643117131733<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $13.50,home & auto tools->home,13.50,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
FHT01,publish,Folding Hand Truck #10061-5,"Price: $17.50, Case  qty: 6, UPC: 643117100616<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $17.50,home & auto tools->home,17.50,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
FHT03,publish,Folding Hand Truck #Kc10081,"Price: $17.50, Case  qty: 6, UPC: <br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $17.50,home & auto tools->home,17.50,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
FLB22,publish,LED Portable Light (Black) 70125,"Price: $0.50, Case  qty: 200, UPC: 643117701257<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.50,flashlights,0.50,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
FLS,publish,Super Bright LED Flashlight #60904,"Price: $0.50, Case  qty: 24, UPC: 643117609041<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.50,flashlights,0.50,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
FLT,publish,Floor Mats 6pc #008435125695,"Price: $7.00, Case  qty: 8, UPC: <br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $7.00,home & auto tools->home,7.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
FM10,publish,Face Mask #29445-2,"Price: $0.50, Case  qty: 72, UPC: 643117294452<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.50,small tools & hardware,0.50,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
FMT,publish,Flexible Mini Tripod #29188-8,"Price: $0.50, Case  qty: 72, UPC: 643117291888<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.50,small tools & hardware,0.50,visible,http://truforge.co/wp-content/uploads/2016/02/29188.jpg
FP,publish,Foot Pump #10548-2,"Price: $1.95, Case  qty: 25, UPC: 643117105482<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $1.95,home & auto tools->auto,1.95,visible,http://truforge.co/wp-content/uploads/2016/02/10548.jpg
FS38,publish,Furiture Sliders 38pcs #10270,"Price: $0.60, Case  qty: 72, UPC: 643117102702<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.60,small tools & hardware,0.60,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
FS4,publish,Furniture Sliders 4pc #10268-9,"Price: $0.50, Case  qty: 48, UPC: 643117102689<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.50,small tools & hardware,0.50,visible,http://truforge.co/wp-content/uploads/2016/02/10268.jpg
FT,publish,Folding Table #29418,"Price: $5.00, Case  qty: 20, UPC: 643117294186<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $5.00,general merchandise,5.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
FWL,publish,Fluorescent Work Light #10014-2,"Price: $2.75, Case  qty: 20, UPC: 643117100142<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $2.75,home & auto tools->auto,2.75,visible,http://truforge.co/wp-content/uploads/2016/02/10014.jpg
GB3,publish,Multi-Purpose Gloves #12916 Rb,"Price: $0.45, Case  qty: 144, UPC: 643117129167<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.45,small tools & hardware->gloves,0.45,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
GC,publish,Glass Cutter #26335,"Price: $0.75, Case  qty: 240, UPC: 643117263359<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.75,small tools & hardware,0.75,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
GI103,publish,103pc Grommet Installation Kit13428,"Price: $2.00, Case  qty: 40, UPC: 643117103136<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $2.00,home & auto tools->home,2.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
GLOVE10,publish,Leather Glove (B) #5016,"Price: $1.00, Case  qty: 120, UPC: <br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $1.00,small tools & hardware->gloves,1.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
GLOVE2,publish,Work Gloves Te #13123,"Price: $0.48, Case  qty: 24, UPC: 643117131238<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.48,small tools & hardware->gloves,0.48,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
GLOVE4,publish,Leather Gloves #5114,"Price: $1.00, Case  qty: 120, UPC: <br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $1.00,small tools & hardware->gloves,1.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
GM2,publish,Safety Goggles & Mask Set 2pc #10086,"Price: $0.50, Case  qty: 24, UPC: 643117100869<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.50,small tools & hardware,0.50,visible,http://truforge.co/wp-content/uploads/2016/02/10086.jpg
GS,publish,Computer Gloves #60114 Black,"Price: $0.45, Case  qty: 144, UPC: 643117601144<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.45,small tools & hardware->gloves,0.45,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
GS6,publish,Computer Gloves #60116 Blue,"Price: $0.45, Case  qty: 144, UPC: 643117601168<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.45,small tools & hardware->gloves,0.45,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
HC12,publish,12pc Hose Clamp Set #29514-2,"Price: $0.60, Case  qty: 72, UPC: 643117295145<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.60,small tools & hardware,0.60,visible,http://truforge.co/wp-content/uploads/2016/02/29514.jpg
HFD,publish,2pc Door Knob Wall Shield #58250 M,"Price: $0.50, Case  qty: 48, UPC: 643117582504<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.50,small tools & hardware,0.50,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
HGGS,publish,Hot Glue Gun Small #10551-2,"Price: $0.60, Case  qty: 48, UPC: 643117105512<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.60,small tools & hardware,0.60,visible,http://truforge.co/wp-content/uploads/2016/02/10551.jpg
HGGS12,publish,12pc Hot Glue Stick #30111-2,"Price: $0.50, Case  qty: 96, UPC: 643117301112<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.50,small tools & hardware,0.50,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
HGGS6,publish,6pc Glue Sticks For Glue Gun #31308,"Price: $0.45, Case  qty: 96, UPC: 643117313085<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.45,small tools & hardware,0.45,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
HK16,publish,Hobby Knife 16pc #11058,"Price: $1.15, Case  qty: 96, UPC: 643117110585<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $1.15,small tools & hardware->knives,1.15,visible,http://truforge.co/wp-content/uploads/2016/02/11058.jpg
HK25,publish,"14pc Folding Hex Key Wrench, Sae","Price: $2.00, Case  qty: 24, UPC: <br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $2.00,home & auto tools->home,2.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
HK7,publish,Hobby Knife 7pc #10701,"Price: $0.48, Case  qty: 288, UPC: 643117107011<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.48,small tools & hardware->knives,0.48,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
HKM8,publish,Hobby Knife #80407,"Price: $0.59, Case  qty: 24, UPC: 643117804071<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.59,small tools & hardware->knives,0.59,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
HNB,publish,Hand Nail Brush #25758,"Price: $0.50, Case  qty: 48, UPC: 643117257587<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.50,small tools & hardware->brush/paniting,0.50,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
HP12,publish,Hollow Punch 12pc #28211,"Price: $2.95, Case  qty: 24, UPC: 643117282114<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $2.95,home & auto tools->home,2.95,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
HPC,publish,Hand Pump Chrome #13551-9,"Price: $2.95, Case  qty: 8, UPC: 643117135519<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $2.95,home & auto tools->auto,2.95,visible,http://truforge.co/wp-content/uploads/2016/02/13551.jpg
HPD,publish,Hand Pump With W/Press Gauge #135694,"Price: $3.95, Case  qty: 12, UPC: 643117135694<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $3.95,home & auto tools->auto,3.95,visible,http://truforge.co/wp-content/uploads/2016/02/13569.jpg
HS12,publish,"Hand Saw 12"" #13029-3","Price: $0.58, Case  qty: 24, UPC: 643117130293<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.58,small tools & hardware,0.58,visible,http://truforge.co/wp-content/uploads/2016/02/13029.jpg
HSF,publish,"Hack Saw Frame 12"" #11064-6","Price: $0.85, Case  qty: 48, UPC: 643117110646<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.85,small tools & hardware,0.85,visible,http://truforge.co/wp-content/uploads/2016/02/11064.jpg
HT3,publish,3 In 1 Pocket Handy Tool #25241-4,"Price: $1.00, Case  qty: 48, UPC: 643117252414<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $1.00,small tools & hardware->screw driver,1.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
HVLPC,publish,Mini Hvlp Spray Gun #12206,"Price: $7.00, Case  qty: 20, UPC: 643117122069<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $7.00,home & auto tools->auto,7.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
IN10,publish,10pc Inflator Needle Set #29505,"Price: $0.55, Case  qty: 96, UPC: 643117295053<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.55,small tools & hardware->sporting goods,0.55,visible,http://truforge.co/wp-content/uploads/2016/02/29505.jpg
IN3,publish,Inflating Needle #89010,"Price: $0.45, Case  qty: 96, UPC: 643117890104<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.45,small tools & hardware->sporting goods,0.45,visible,http://truforge.co/wp-content/uploads/2016/02/89010.jpg
IPL25,publish,Iron Pad Lock 25Mm,"Price: $0.45, Case  qty: 600, UPC: <br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.45,small tools & hardware,0.45,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
IPL40,publish,Entry Lock Gold (Ball) #28919,"Price: $3.00, Case  qty: 24, UPC: 643117289199<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $3.00,home & auto tools->home,3.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
IZ292,publish,C7 5W Light Bulb White #61125,"Price: $0.50, Case  qty: 36, UPC: 643117611259<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.50,small tools & hardware,0.50,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
JB,publish,Courier Bag #26244,"Price: $0.55, Case  qty: 36, UPC: 643117262444<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.55,small tools & hardware,0.55,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
JC-950,publish,20 Asst Style Buttons #35406,"Price: $0.35, Case  qty: 480, UPC: 643117354064<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.35,small tools & hardware,0.35,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
JSDP,publish,Jumbo Steel Dust Pan #;28335,"Price: $3.00, Case  qty: 24, UPC: 643117283357<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $3.00,home & auto tools->home,3.00,visible,http://truforge.co/wp-content/uploads/2016/02/28335.jpg
JTB,publish,Butterfly Thermometer #66204,"Price: $0.48, Case  qty: 48, UPC: 643117662046<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.48,small tools & hardware,0.48,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
JTK,publish,Key Chain Thermometer #66208,"Price: $0.45, Case  qty: 1000, UPC: 643117662084<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.45,small tools & hardware,0.45,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
JW10,publish,"Jumbo Wrench 10pc 10X(15/16""-2"")","Price: $59.00, Case  qty: 2, UPC: 643117101019<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $59.00,home & auto tools->home,59.00,visible,http://truforge.co/wp-content/uploads/2016/02/10101.jpg
JW6,publish,"Jumbo Wrench 6pcx (11/8-2"") #10803","Price: $39.00, Case  qty: 2, UPC: 643117108032<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $39.00,home & auto tools->home,39.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
K005M,publish,Craft Scissors #70115,"Price: $0.45, Case  qty: 240, UPC: 643117701158<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.45,small tools & hardware,0.45,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC,publish,"14"" Black Spiral Key Chain #26069","Price: $0.35, Case  qty: 200, UPC: 643117260693<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.35,small tools & hardware,0.35,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC10078,publish,Luggage Cart,"Price: $10.00, Case  qty: 6, UPC: <br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $10.00,home & auto tools->home,10.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC28012,publish,3pc Garden Tool Set,"Price: $7.00, Case  qty: 6, UPC: 853371280126<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $7.00,home & auto tools->home,7.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC28015,publish,3pc Garden Tool Set,"Price: $3.00, Case  qty: 12, UPC: 853371280157<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $3.00,home & auto tools->home,3.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC28016,publish,3pc Garden Tool Set,"Price: $7.00, Case  qty: 6, UPC: 853371280164<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $7.00,home & auto tools->home,7.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC30005,publish,4pc Car Mats - Tan,"Price: $4.00, Case  qty: 10, UPC: <br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $4.00,home & auto tools->auto,4.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC30013B,publish,Wet&Dry Auto Vacuum W/LED Lights Wb,"Price: $7.50, Case  qty: 8, UPC: 853371300138<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $7.50,home & auto tools->auto,7.50,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC42778,publish,2pk 6 LED Motion Sensor Light -Sp,"Price: $6.00, Case  qty: 24, UPC: <br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $6.00,home & auto tools,6.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC42784,publish,Back Massage Pillow   -Sp,"Price: $4.00, Case  qty: 12, UPC: <br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $4.00,general merchandise,4.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC42785,publish,Back Massage Pillow,"Price: $6.00, Case  qty: 8, UPC: <br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $6.00,general merchandise,6.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC42789CB,publish,5pc Glass Bowl Set    -Wb,"Price: $2.50, Case  qty: 12, UPC: <br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $2.50,general merchandise,2.50,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC42802,publish,Furniture Sliders -Sp,"Price: $3.50, Case  qty: 24, UPC: <br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $3.50,general merchandise,3.50,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC42806,publish,Fabric Shaver,"Price: $2.50, Case  qty: 24, UPC: <br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $2.50,general merchandise,2.50,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC42807C,publish,5 LED Superbright LED Light  Sp,"Price: $2.75, Case  qty: 12, UPC: <br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $2.75,flashlights,2.75,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC42817B,publish,Velvet Hangers #42817,"Price: $13.50, Case  qty: 4, UPC: <br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $13.50,general merchandise,13.50,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
